key	RU	EN	ES-EU	ES_LA	PT-BR	PT-EU	FR	DE	JA	KO	ZH-S	ZH-T	TR	TH	IT	ID
creature48	Протеиновый мутант	Protein Mutant	Mutante de las Proteínas	Mutante de proteínas	Mutante de Proteína	Mutante das Proteínas	Mutant protéiné	Proteinmutant	プロテインミュータント	단백질 보충제 중독자	蛋白变种人	蛋白質變異人	Protein Mutantı	มนุษยกลายพันธุ์โปรตีน	Mutante proteico	Mutan Protein
creature49	Пропогандорус	Propogandorus	Propogandorus	Propagandor	Propogandorus	Propagandista	Propogandorus	Propagandorus	プロパガンダ人	선전선동가	大喇叭	宣傳人	Propogandorus	นักสร้างโฆษณาชวนเชื่อ	Propagandoro	Propogandorus
creature50	Эмоджин	Emodjinn	Emotigenio	Geniemoji	Emodjinn	Emodijn	Emodjinn	Emodschinn	エモジン	이모진	表情灵	表情精靈	Emodjinn	Emodjinn	Emo-jinn	Emodjinn
creature51	Осьмимозг с галстуком	Business Octopus	Pulpo de los Negocios	Pulpo negociante	Polvo Empresário	Polvo dos Negócios	Octopus d'affaires	Krawatten-Krake	ビジネスタコ	사업가 문어	商务章鱼	商業八爪魚	İş Adamı Ahtapot	ปลาหมึกยักษ์นักธุรกิจ	Piovra affarista	Gurita Bisnis
creature52	Мистер Мускул	Mr. Muscle	Mister Músculo	Sr. Músculo	Sr. Músculos	Sr. Músculos	Monsieur muscle	Herr Muskelprotz	ミスターマッスル	근육맨	肌肉怪	肌肉先生	Bay Kas	มิสเตอร์มัสเซิล	Mister Muscolo	Pria Berotot
creature53	Мама	Mother	Madre	Madre	Mãe	Mãe	Mère	Mutter	マザー	어머니	妈妈	母親	Anne	แม่	Mamma	Ibu
creature54	Кудесница	Village Girl	Chica de pueblo	Chica de aldea	Garota do vilarejo	Aldeã	Villageoise	Dorfzauberin	村娘	마을 소녀	村妞	村女	Köy Kızı	สาวชาวบ้าน	Ragazza di campagna	Gadis Desa
creature55	Nun	Nun	Nun	Nun	Nun	Nun	Nun	Nun	Nun	Nun	Nun	Nun	Nun	Nun	Nun
creature56	Воинственная Жанна	Warrior Princess	Princesa guerrera	Princesa Guerrera	Princesa Guerreira	Princesa Guerreira	Princesse guerrière	Edle Kriegerin	戦姫	전사 공주	战士公主	戰士公主	Savaşçı Prenses	เจ้าหญิงนักรบ	Principessa guerriera	Putri Kesatria
creature57	Надутая аристократка	High Class Aristocrat	Aristócrata	Aristócrata de clase alta	Aristocrata de Alta Classe	Aristocrata da Classe Alta	Noble aristocrate	Höhere Dame	高級貴族	높은 귀족	高级贵族	高級貴族	Yüksek Sınıf Aristokrat	ชนชั้นสูง	Aristocratico di alta classe	Aristokrat Kelas Atas
creature58	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red	Lady Red
creature59	Элегантная скромняшка	Elegant Flirt	Coqueta	Coqueta elegante	Dama Elegante	Dama Elegante	Charmeuse chic	Eleganter Flirt	エレガントな浮気娘	우아한 바람둥이	优雅调情	優雅情人	Zarif Flört	นักจีบสุดหรู	Flirtatrice elegante	Rayuan Elegan
creature60	Блондинка Мерлин	Blondie Marilyn	Marilyn	Rubia Marilyn	Marilyn Platinada	Marilyn Platinada	Marilyne blondinette	Blondie Marylin	ブロンディマリリン	금발의 마릴린	金发女郎玛丽莲	金髮瑪麗蓮	Sarışın Marilyn	มาริลีนสาวผมทอง	Marilyn la Bionda	Marilyn Si Pirang
creature61	Танцовщица диско	Disco Dancer	Fan de la música disco	Bailarina de disco	Dançarina	Dançarina Disco	Danseuse disco	Diskotänzerin	ディスコダンサー	디스코 댄서	迪斯科舞者	迪斯可舞者	Disko Dansçısı	นักเต้นดิสโก้	Disco-dancer	Penari Disko
creature62	Модная злюка	Fashion Freak	Adicta a la moda	Fanática de la moda	Fashionista	Fashionista	Mordue de mode	Modefreak	ファッションフリーク	패션 괴물	时尚怪胎	時尚怪胎	Moda Delisi	ผู้คลั่งไคล้แฟชั่น	Pazza per la moda	Penggila Mode
creature63	October	October	October	October	October	October	October	October	October	October	October	October	October	October	October	October
creature64	Рыбка с собачкой	Duck Lips	Boca de pato	Labios de pato	Boca de Pato	Boca de Pato	Bec de canard	Entenlippen	アヒルぐち	오리 입술	鸭子嘴	嘟嘴	Ördek Dudaklı	ปากหนา	Labbra da papera	Bibir Bebek
creature65	Суфражистка	Suffragette	Sufragista	Sufragante	Empoderada	Sufragista	Suffragette	Suffragette	婦人参政権論者	여성운동가	女政客	女政客	Süfrajet	นักเรียกร้องสิทธิสตรี	Suffragetta	Suffragette
creature66	Комсомолка	Rosie the Riveter	Rosie la remachadora	Rosie la remachadora	Rosie Empoderada	Rosie a Operária	Rosie la riveteuse	Komsomolka	ロージー・ザ・リベッター	리벳공 로지	铆工罗茜	鉚釘女工	Perçinci Rosie	Rosie the Riveter	Rosie the Riveter	Rosie the Riveter
creature67	Бизнес-леди	Business Woman	Mujer de negocios	Mujer de negocios	Mulher de Negócios	Mulher de Negócios	Femme d'affaires	Geschäftsfrau	ビジネスウーマン	여성 사업가	女商人	事業女強人	İş Kadını	นักธุรกิจหญิง	Donna d'affari	Pebisnis Wanita
creature68	Activist	Activist	Activist	Activist	Activist	Activist	Activist	Activist	Activist	Activist	Activist	Activist	Activist	Activist	Activist	Activist
creature69	Dana	Dana	Dana	Dana	Dana	Dana	Dana	Dana	Dana	Dana	Dana	Dana	Dana	Dana	Dana	Dana
creature70	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer	Fencer
creature71	Transformer	Transformer	Transformer	Transformer	Transformer	Transformer	Transformer	Transformer	Transformer	Transformer	Transformer	Transformer	Transformer	Transformer	Transformer
creature72	Сильная и независимая	Strong and Independent	Fuerte e independiente	Fuerte e independiente	Forte e Independente	Forte e Independente	Forte et indépendante	Stark und unabhängig	強くて独立型	강하고 독립적인	大壮妞	獨立自主	Güçlü ve Bağımsız	แข็งแรงและเป็นอิสระ	Forte e indipendente	Kuat dan Independen
creature1001	Эллен	Ellen	Ellen	Ellen	Ellen	Ellen	Ellen	Ellen	エレン	엘렌	艾伦	艾倫	Ellen	เอลเลน	Ellen	Ellen
creature1002	Мужчина в черном	Guy in Black	Hombre de Negro	Hombre de Negro	Homem de Preto	Homem de Preto	L'homme en noir	Schwarzer Mann	黒服の男	맨인블랙	黑衣人	黑衣人	Siyahlı Adam	ชายชุดดำ	Man in Black	Pria Berbaju Hitam
creature1003	Шейфер	Schaefer	Schaefer	Schaefer	Pastor	Pastor	Schaefer	Schäfer	シェファー	셰퍼	Schaefer	夏飛爾	Schaefer	คนเลี้ยงแกะ	Schaefer	Schaefer
creature1004	Доктор	Doctor	Doctor	Doctor	Doutor	Médico	Docteur	Doktor	ドクター	의사	医生	醫生	Doktor	หมอ	Dottore	Dokter
creature1005	Фримен	Freeman	Freeman	Freeman	Freeman	Freeman	Freeman	Freeman	フリーマン	프리맨	自由人	弗裡曼	Freeman	ฟรีแมน	Uomo libero	Orang Bebas
creature1006	Капитан	Captain	Capitana	Capitana	Capitão	Capitão	Capitaine	Kapitän	キャプテン	캡틴	惊奇队长	隊長	Kaptan	กัปตัน	Capitano	Kapten
epoch1	Начало	Beginning	Origen	Inicio	Início	Início	Commencement	Start	始まり	창세기	开始	開始	Başlangıç	จุดเริ่มต้น	Gli inizi	Awal Mula
epoch2	Первые люди	First People	Primeros Humanos	Primeras personas	Primeiros humanos	Primeiras Pessoas	Premiers êtres	Urgeschichte	最初の人類	아담	祖人们	第一個人	İlk İnsanlar	มนุษย์พวกแรก	I primi umani	Orang-Orang Pertama
epoch3	Зрелища	Spectacle	Espectáculo	Espectáculo	Espetáculo	Espetáculo	Lunettes	Spiele	パフォーマンス	안경	奇观	場景	Manzara	การแสดง	I creativi	Tontonan
epoch4	Хлеб	Bread	Pan	Pan	Pão	Pão	Pain	Brot	パン	빵	面包	麵包	Ekmek	ขนมปัง	Cibo	Roti
epoch5	Телевидение	Television	Televisión	Televisión	Televisão	Televisão	Télévision	Fernsehen	テレビ	TV	电视	電視	Televizyon	โทรทัศน์	Televisione	Televisi
epoch6	Интернет	Internet	Internet	Internet	Internet	Internet	Internet	Internet	インターネット	인터넷	互联网	網路	İnternet	อินเทอร์เน็ต	Internet	Internet
epoch7	Наука	Science	Ciencia	Ciencia	Ciência	Ciência	Science	Wissenschaft	科学	과학	科学	科學	Bilim	วิทยาศาสตร์	Scienza	Sains
epoch8	Спорт	Sports	Deporte	Deportes	Esporte	Desporto	Sport	Sport	スポーツ	스포츠	体育	體育	Spor	กีฬา	Sport	Olahraga
epoch9	Телеединство	Teleunity	Teleunidad	Teleunidad	Teleunidade	Teleunidade	Ensemble télé	Tele-Einheit	テレユニティ	원거리	远程一体	電信整合	Teleunity	เทเลยูนิตี้	Teleunità	Teleunity
epoch10	Виртуализация	Virtualization	Virtualización	Virtualización	Virtualização	Virtualização	Virtualisation	Virtualisierung	仮想化	가상화	虚拟化	虛擬化	Sanallaştırma	การทำให้เสมือนจริง	Virtualizzazione	Virtualisasi
epoch11	Метаморфоза	Transformation	Transformación	Transformación	Transformação	Transformação	Transformation	Metamorphose	変身	변환	转化	轉變	Dönüşüm	การเปลี่ยนแปลง	Trasformazione	Transformasi
epoch12	Культ Силы	Power Cult	Culto al Poder	Culto al poder	Culto ao Poder	Culto do Poder	Culte du pouvoir	Kult der Macht	パワーカルト	파워 컬트	权力崇拜	力量異教	Güç Kültü	พลังลัทธิ	Culto del potere	Kultus Kekuatan
epoch13	Забота	Care	Cuidados	Cuidado	Cuidado	Cuidado	Soins	Fürsorge	世話	케어	护理	照護	Bakım	การดูแล	Cure	Peduli
epoch14	Мода	Fashion	Moda	Moda	Moda	Moda	Mode	Mode	ファッション	패션	时尚	時尚	Moda	แฟชั่น	Moda	Mode
epoch15	Равноправие	Equal Rights	Igualdad de derechos	Igualdad de derechos	Direitos Iguais	Direitos Iguais	Égalité des droits	Gleich Rechte	平等の権利	동등한 권리	平权	平權	Eşit Haklar	สิทธิเท่าเทียมกัน	Uguaglianza	Persamaan Hak
epoch16	Перевоплощение	Transformation	Transformación	Transformación	Transformação	Transformação	Transformation	Transformation	変態	변형	转型	轉變	Dönüşüm	การเปลี่ยนแปลง	Trasformazione	Transformasi
epoch17	Матриархат	Matriarch	Matriarcado	Matriarca	Matriarca	Matriarca	Matriarcat	Matriarchat	女家長	여가장	女族长	母權	Anaerkil	ปูชนียบุคคล	Matriarca	Matriarki
planet1	Земля	Earth	Tierra	Tierra	Terra	Terra	Terre	Erde	地球	지구	地球	地球	Toprak	โลก	Terra	Bumi
planet2	Каллисто	Callisto	Calisto	Calisto	Calisto	Calisto	Callisto	Callisto	カリスト	칼리스토	卡利斯特	卡利斯多	Callisto	คัลลิสโต	Callisto	Callisto
planet3	Тефия	Tethys	Tetis	Tetis	Tetis	Tétis	Téthys	Tethys	テシーズ	테티스	特提斯	忒堤斯	Tethys	ทีธิส	Tethys	Tethys
planet4	Оберон	Oberon	Oberón	Oberón	Oberon	Oberon	Obéron	Oberon	オベロン	오베론	奥伯朗	奧伯龍	Oberon	โอเบรอน	Oberon	Oberon
planet5	Кеплер	Kepler	Kepler	Kepler	Kepler	Kepler	Kepler	Kepler	ケプラー	케플러	开普勒	克卜勒	Kepler	เคปเลอร์	Kepler	Kepler
planet6	Глизе	Gliese	Gliese	Gliese	Gliese	Gliese	Gliese	Gliese	グリーゼ	글리제	格利斯	葛利斯	Gliese	กลีเซอ	Gliese	Gliese
soft_money	Золото	Gold	Oro	Oro	Ouro	Ouro	Or	Gold	ゴールド	골드	黄金	黃金	Altın	ทองคำ	Monete	Emas
hard_money	Кристаллы	Crystals	Cristales	Cristales	Cristais	Cristais	Crystaux	Kristalle	クリスタル	크리스탈	水晶	水晶	Kristaller	คริสตัล	Cristalli	Kristal
loading	Загрузка	Loading	Cargando	Cargando	Carregando	A carregar	Chargement	Laden...	読み込み中	로딩 중...	加载	載入中	Yükleniyor	กำลังโหลด	Caricamento	Memuat
settings	Настройки	Settings	Configuración	Configuración	Configurações	Configurações	Paramètres	Einstellungen	設定	설정	设置	設定	Ayarlar	การตั้งค่า	Impostazioni	Pengaturan
money_box_reward	Ваша награда:	Your rewards:	Tus recompensas:	Tus recompensas:	Suas recompensas:	As suas recompensas:	Vos récompenses :	Deine Belohnungen:	報酬：	보상:	您的奖励：	你的獎勵：	Ödüllerin:	รางวัลของคุณ:	La tua ricompensa:	Hadiahmu:
take	Взять	Get	Coger	Tomar	Obter	Obter	Récupérer	Nimm	ゲット	받기	领取	拿取	Al	รับ	Ottieni	Dapatkan
take_double	Взять Х2	Get X2	Coger ×2	Tomar X2	Obter x2	Obter x2	Récupérer x2	Nimm X2	2倍ゲット	받기X2	领取 X2	拿取 X2	X2 Al	รับ 2 เท่า	Raddoppia	Dapatkan X2
no_money	Недостаточно денег	Not enough money	No tienes suficiente dinero.	No tienes suficiente dinero.	Sem dinheiro suficiente	Sem dinheiro suficiente	Pas assez d'argent	Nicht genug Geld	お金が足りません	금액이 부족합니다.	金额不足	金錢不足	Yeterli para yok	มีเงินไม่พอ	Denaro insufficiente	Uang tidak mencukupi
free	БЕСП.	FREE	GRATIS	GRATIS	GRÁTIS	GRÁTIS	GRATUIT	GRATIS	無料	무료	免费	免費	ÜCRETSİZ	ฟรี	GRATIS	GRATIS
collection	Коллекция	Collection	Colección	Colección	Coleção	Coleção	Collection	Sammlung	コレクション	컬렉션	收藏	收藏	Koleksiyon	คอลเล็กชั่น	Raccolta	Koleksi
next_epoch_title	Выберете следующую эру	Select new era	Seleccionar nueva era	Seleccionar nueva era	Selecione uma nova era	Selecione uma nova era	Sélectionner une nouvelle zone	Wähle eine neue Epoche	新しい時代を選択	새로운 시대를 선택하세요.	选择新时代	選擇新時代	Yeni çağ seç	เลือกยุคใหม่	Seleziona la nuova era	Pilih era baru
starter_pack	Стартовый набор	Starter kit	Kit básico	Kit básico	Kit Iniciante	Kit iniciante	Kit de débutant	Einsteiger-Set	スターターキット	스타터 킷	新手包	入門套裝	Başlangıç seti	ชุดอุปกรณ์เริ่มต้น	Starter kit	Paket awal
ok	OK	OK	Aceptar	Aceptar	OK	OK	OK	Ok	OK	OK	确定	確定	Tamam	ตกลง	OK	OK
your_missions_tutorial	Твои миссии	Your missions	Tus misiones	Tus misiones	Suas missões	As suas missões	Vos missions	Deine Missionen	ミッション	QEUST	你的使命	你的任務	Görevlerin	ภารกิจของคุณ	Le tue missioni	Misimu
collect	Собрать	Collect	Recoger	Recoger	Coletar	Recolher	Récolter	Sammle	集める	수집	收集	收集	Topla	สะสม	Raccogli	Kumpulkan
mission_rewards_title	Награды за миссию	Mission rewards	Recompensas de misiones	Recompensas de misión	Recompensas de missão	Recompensas de missão	Récompenses de mission	Belohnungen für Missionen	ミッションの報酬	임무 완료 보상	使命奖励	任務獎勵	Görev ödülleri	รางวัลสำหรับภารกิจ	Ricompense per le missioni	Hadiah misi
ads	ADS	ADS	ANUNCIOS	ADS	ANÚNCIOS	ANÚNCIOS	PUBS	Werbeanzeigen	ADS	ADS	广告	廣告	REKLAMLAR	โฆษณา	PUBBLICITÀ	IKLAN
monster_purchases_number	Куплено: {0}	Bought: {0}	Comprado: {0}	Comprado: {0}	Comprado: {0}	Comprado: {0}	Acheté : {0}	Gekauft: {0}	購入済み：{0}	구매: {0}	已购买：{0}	已購買：{0}	Satın alınan: {0}	ที่ซื้อไว้: {0}	Acquistato: {0}	Dibeli: {0}
monster_soft_speed	Золото: {0}/сек	Gold: {0}/sec	Oro: {0}/s	Oro: {0}/s	Ouro: {0}/s	Ouro: {0}/seg.	Or : {0}/sec	Gold: {0}/Sek.	ゴールド：{0}/秒	골드: {0}/초	黄金：{0}/秒	黃金：{0}/秒	Altın: {0}/sn	ทองคำ: {0}/วินาที	Monete: {0}/s	Emas: {0}/dtk
upgrade_moneybox_title	Улучшение копилки	Upgrade piggy bank	Mejorar hucha	Mejorar alcancía	Fazer upgrade do cofrinho	Fazer upgrade do mealheiro	Améliorer la tirelire	Guthaben aktualisieren	貯金箱をアップグレード	돼지 저금통 업그레이드	升级存钱罐	升級存錢罐	Kumbarayı yükselt	อัปเกรดหมูออมสิน	Upgrade del salvadanaio	Upgrade celengan
mission_complete	Миссия завершена	Mission Completed	Misión completada	Misión completada	Missão concluída	Missão concluída	Mission terminée	Mission abgeschlossen	ミッション成功	임무 완수	使命完成	任務完成	Görev Tamamlandı	ภารกิจเสร็จสิ้น	Missione compiuta	Misi Selesai
not_enough_space	Недостаточно места для новых существ!	Not enough space for new creatures!	No tienes suficiente espacio para nuevas criaturas.	¡No hay suficiente espacio para nuevas criaturas!	Sem espaço suficiente para novas criaturas!	Não tem espaço suficiente para novas criaturas!	Espace insuffisant pour de nouvelles créatures !	Nicht genug Platz für alle Monster!	新しい生き物のためのスペースが不足しています！	공간이 부족합니다!	没有足够空间给新生物！	生物空間不足！	Yeni yaratıklar için yeterli alan yok!	มีที่ว่างไม่พอสำหรับสิ่งมีชีวิตใหม่!	Spazio insufficiente per nuove creature.	Ruang tidak mencukupi untuk makhluk baru!
not_enough_space_msg1	У тебя может быть только 16 существ на одну эру.	You can only have 16 creatures per era.	Solo puedes tener 16 criaturas por era.	Solo puedes tener 16 criaturas por era.	Você só pode ter 16 criaturas por era.	Só pode ter 16 criaturas por era.	Vous ne pouvez avoir que 16 créatures par ère.	Du kannst nur 16 Monster in einer Epoche haben.	一つの時代に16の生き物しか持てません	시대별로 최대 16개의 피조물를 보유할 수 있습니다.	每个时代你只能有16种生物。	每個時代你只能擁有 16 個生物。	Her çağ için en fazla 16 yaratığın olabilir.	คุณสามารถมีสิ่งมีชีวิตได้สูงสุด 16 ตัวต่อ 1 ยุค	Puoi avere solo 16 creature per ogni epoca.	Hanya bisa ada 16 makhluk per era.
not_enough_space_msg2	Соединяй существ!	Tap creatures!	¡Toca criaturas!	¡Toca las criaturas!	Toque nas criaturas!	Toque nas criaturas!	Cliquez sur Créatures !	Kombiniere Monster!	生き物をタップ！	피조물을 탭하세요!	开发生物！	點擊生物！	Yaratıklara dokun!	แตะที่สิ่งมีชีวิต!	Tocca le creature!	Ketuk makhluk!
vip	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	วีไอพี	VIP	VIP
first_mission	Первая миссия	First mission	Primera misión	Primera misión	Primeira missão	Primeira missão	Première mission	Erste Mission	最初のミッション	첫 임무	第一个使命	第一個任務	İlk görev	ภารกิจแรก	Prima missione	Misi pertama
gold_membership	VIP ПОДПИСКА	GOLD MEMBERSHIP	SUSCRIPCIÓN ORO	MEMBRESÍA DE ORO	TÍTULO DE MEMBRO OURO	TÍTULO DE MEMBRO OURO	ADHÉSION OR	GOLD MITGLIEDSCHAFT	ゴールドメンバーシップ	골드 멤버쉽	黄金会员	黃金會員	ALTIN ÜYELİK	สมาชิกระดับทองคำ	ABBONAMENTO GOLD	KEANGGOTAAN EMAS
every_day	каждый день	every day	todos los días	todos los días	todos os dias	todos os dias	tous les jours	täglich	毎日	매일	每日	每日	her gün	ทุกวัน	ogni giorno	setiap hari
try_for_free	ПОПРОБУЙ БЕСПЛАТНО	TRY FREE	PRUEBA GRATUITA	PRUEBA GRATUITA	EXPERIMENTE GRÁTIS	EXPERIMENTE GRATUITAMENTE	ESSAI GRATUIT	KOSTENLOS TESTEN	無料で試す	무료 체험	免费试用	免費試玩	ÜCRETSİZ DENE	ลองได้ฟรี	PROVALO GRATIS	COBA GRATIS
vip_bonus_ads	Полностью убирает всю рекламу	Completely removes all ads	Elimina por completo todos los anuncios.	Elimina completamente todos los anuncios.	Remove completamente todos os anúncios.	Remove completamente todos os anúncios.	Supprime toutes les publicités.	Entfernt sämtliche Werbeanzeigen.	広告を完全になくします。	광고 제거	彻底去除广告。	徹底移除所有廣告。	Tüm reklamları tamamen kaldırır	ลบโฆษณาออกทั้งหมด	Rimuove tutta la pubblicità	Hilangkan semua iklan sepenuhnya
vip_hard_bonus	Бонус {0}% на покупку	Bonus {0}% on purchase	{0} % de bonificación en la compra	Bonificación {0}% en la compra	Bônus de {0}% na compra	Bónus de {0}% na compra	Bonus de {0} % à l'achat	{0}% Bonus auf den Kauf	ご購入でボーナス {0}%	구매 시 {0}% 보너스	购买即获奖励 {0}%	購買時可獲 {0}% 的獎勵	Tüm alımlarda %{0} bonus	โบนัส {0}% จากการซื้อสินค้า	{0}% bonus sull'acquisto	Bonus {0}% untuk setiap pembelian
not_purchased	Не куплено	Not purchased	No comprado	No comprado	Não comprado	Não comprado	Non acheté	Nicht gekauft	購入されていません	미구매	未购买	未購買	Satın alınmadı	ที่ไม่ได้ซื้อ	Non acquistato	Tidak dibeli
vip_price	{0} дня бесплатно, затем {1} в неделю	{0} days for FREE, after trial period {1} per week	{0} días GRATIS; después del período de prueba, {1} a la semana	{0} días GRATIS, después del período de prueba {1} por semana	{0} dias GRÁTIS após o período de {1} de avaliação por semana	{0} dias GRATUITOS após o período de {1} de avaliação por semana	{0} jours GRATUITS, après une période d'essai de {1} par semaine	{0} Tage GRATIS testen, danach wöchentlich für {1} pro Woche spielen	{0} 日間無料。試用期間後は {1} /週	{0}일 무료 체험, 일주일 이용 금액 {1}	{0} 天免费，试用期后 {1} 每周	{0} 天免費試玩，試玩期結束後每週 {1}	{0} gün ÜCRETSİZ, deneme süresinden sonra haftada {1}	ฟรี {0} วัน หลังจากหมดเวลาทดลองใช้ {1} ต่อสัปดาห์	{0} giorni GRATIS; dopo il periodo di prova {1} a settimana	{0} hari GRATIS, setelah periode percobaan {1} per minggu
